home_zcta,home_county,atl_workers,workforce_share_pct,cumulative_share_pct
30173,"Floyd County, GA",4,0.0061,99.0428
30185,"Douglas County, GA",4,0.0061,99.0489
30252,"Rockdale County, GA",4,0.0061,99.055
30439,"Candler County, GA",4,0.0061,99.0611
30519,"Hall County, GA",4,0.0061,99.0672
30529,"Banks County, GA",4,0.0061,99.0733
30530,"Banks County, GA",4,0.0061,99.0794
30534,"Lumpkin County, GA",4,0.0061,99.0855
30541,"Fannin County, GA",4,0.0061,99.0916
30558,"Jackson County, GA",4,0.0061,99.0977
30559,"Fannin County, GA",4,0.0061,99.1038
30565,"Jackson County, GA",4,0.0061,99.1099
30609,"Clarke County, GA",4,0.0061,99.116
30683,"Clarke County, GA",4,0.0061,99.1221
30740,"Whitfield County, GA",4,0.0061,99.1282
30742,"Catoosa County, GA",4,0.0061,99.1343
30752,"Dade County, GA",4,0.0061,99.1404
30816,"Burke County, GA",4,0.0061,99.1465
30817,"Lincoln County, GA",4,0.0061,99.1526
31008,"Crawford County, GA",4,0.0061,99.1587
31044,"Twiggs County, GA",4,0.0061,99.1648
31075,"Laurens County, GA",4,0.0061,99.1709
31092,"Dooly County, GA",4,0.0061,99.177
31302,"Chatham County, GA",4,0.0061,99.1831
31411,"Chatham County, GA",4,0.0061,99.1892
31503,"Ware County, GA",4,0.0061,99.1953
31545,"Wayne County, GA",4,0.0061,99.2014
31620,"Cook County, GA",4,0.0061,99.2075
31709,"Sumter County, GA",4,0.0061,99.2136
31791,"Worth County, GA",4,0.0061,99.2197
31831,"Harris County, GA",4,0.0061,99.2258
39845,"Seminole County, GA",4,0.0061,99.2319
30024,"Fulton County, GA",3,0.0046,99.2365
30106,"Douglas County, GA",3,0.0046,99.2411
30124,"Floyd County, GA",3,0.0046,99.2457
30147,"Floyd County, GA",3,0.0046,99.2503
30170,"Heard County, GA",3,0.0046,99.2549
30177,"Pickens County, GA",3,0.0046,99.2595
30285,"Pike County, GA",3,0.0046,99.2641
30322,"DeKalb County, GA",3,0.0046,99.2687
30337,"Clayton County, GA",3,0.0046,99.2733
30401,"Emanuel County, GA",3,0.0046,99.2779
30427,"Tattnall County, GA",3,0.0046,99.2825
30467,"Screven County, GA",3,0.0046,99.2871
30474,"Toombs County, GA",3,0.0046,99.2917
30520,"Hart County, GA",3,0.0046,99.2963
30521,"Franklin County, GA",3,0.0046,99.3009
30538,"Stephens County, GA",3,0.0046,99.3055
30552,"Rabun County, GA",3,0.0046,99.3101
30576,"Rabun County, GA",3,0.0046,99.3147
30582,"Towns County, GA",3,0.0046,99.3193
30622,"Oconee County, GA",3,0.0046,99.3239
30624,"Elbert County, GA",3,0.0046,99.3285
30625,"Morgan County, GA",3,0.0046,99.3331
30630,"Oglethorpe County, GA",3,0.0046,99.3377
30634,"Elbert County, GA",3,0.0046,99.3423
30648,"Oglethorpe County, GA",3,0.0046,99.3469
30663,"Morgan County, GA",3,0.0046,99.3515
30710,"Whitfield County, GA",3,0.0046,99.3561
30731,"Chattooga County, GA",3,0.0046,99.3607
30734,"Pickens County, GA",3,0.0046,99.3653
30741,"Catoosa County, GA",3,0.0046,99.3699
31002,"Emanuel County, GA",3,0.0046,99.3745
31002,"Johnson County, GA",3,0.0046,99.3791
31033,"Jones County, GA",3,0.0046,99.3837
31096,"Johnson County, GA",3,0.0046,99.3883
31097,"Upson County, GA",3,0.0046,99.3929
31217,"Jones County, GA",3,0.0046,99.3975
31315,"Liberty County, GA",3,0.0046,99.4021
31320,"Liberty County, GA",3,0.0046,99.4067
31321,"Bryan County, GA",3,0.0046,99.4113
31329,"Effingham County, GA",3,0.0046,99.4159
31501,"Ware County, GA",3,0.0046,99.4205
31513,"Appling County, GA",3,0.0046,99.4251
31537,"Charlton County, GA",3,0.0046,99.4297
31636,"Lowndes County, GA",3,0.0046,99.4343
31643,"Brooks County, GA",3,0.0046,99.4389
31701,"Dougherty County, GA",3,0.0046,99.4435
31714,"Turner County, GA",3,0.0046,99.4481
31779,"Mitchell County, GA",3,0.0046,99.4527
31780,"Sumter County, GA",3,0.0046,99.4573
31793,"Tift County, GA",3,0.0046,99.4619
31808,"Muscogee County, GA",3,0.0046,99.4665
31820,"Harris County, GA",3,0.0046,99.4711
31822,"Harris County, GA",3,0.0046,99.4757
31833,"Harris County, GA",3,0.0046,99.4803
31901,"Muscogee County, GA",3,0.0046,99.4849
31905,"Chattahoochee County, GA",3,0.0046,99.4895
39817,"Decatur County, GA",3,0.0046,99.4941
39825,"Decatur County, GA",3,0.0046,99.4987
30028,"Cherokee County, GA",2,0.0031,99.5018
30040,"Cherokee County, GA",2,0.0031,99.5049
30055,"Jasper County, GA",2,0.0031,99.508
30101,"Bartow County, GA",2,0.0031,99.5111
