home_zcta,home_county,atl_workers,synthetic_members,zcta_latitude,zcta_longitude,nearest_marta_station,nearest_marta_node_code,distance_to_marta_miles
30024,"Forsyth County, GA",77,8,34.063485,-84.091100,DORAVILLE STATION,MARTA-DORAVILLE,15.55
30097,"Fulton County, GA",77,8,34.026335,-84.145677,DORAVILLE STATION,MARTA-DORAVILLE,11.54
30097,"Gwinnett County, GA",76,8,34.026335,-84.145677,DORAVILLE STATION,MARTA-DORAVILLE,11.54
30306,"DeKalb County, GA",75,8,33.788140,-84.352625,EDGEWOOD-CANDLER PARK STATION,MARTA-EDGEWOOD-CANDLER-PARK,1.94
30071,"Gwinnett County, GA",74,7,33.940652,-84.206734,DORAVILLE STATION,MARTA-DORAVILLE,5.00
31029,"Monroe County, GA",74,7,33.043571,-83.935350,AIRPORT STATION,MARTA-AIRPORT,50.70
30002,"DeKalb County, GA",72,7,33.773335,-84.261667,KENSINGTON STATION,MARTA-KENSINGTON,0.56
30087,"Gwinnett County, GA",72,7,33.791402,-84.098277,INDIAN CREEK STATION,MARTA-INDIAN-CREEK,7.68
30268,"Coweta County, GA",72,7,33.546430,-84.722632,AIRPORT STATION,MARTA-AIRPORT,17.19
30241,"Troup County, GA",71,7,33.021712,-84.956230,AIRPORT STATION,MARTA-AIRPORT,51.91
30303,"Fulton County, GA",70,7,33.752845,-84.390226,FIVE POINTS STATION,MARTA-FIVE-POINTS,0.11
30102,"Cobb County, GA",69,7,34.101625,-84.645168,NORTH SPRINGS STATION,MARTA-NORTH-SPRINGS,19.73
30363,"Fulton County, GA",69,7,33.791478,-84.398892,ARTS CENTER STATION,MARTA-ARTS-CENTER,0.68
30205,"Fayette County, GA",68,7,33.267427,-84.475116,AIRPORT STATION,MARTA-AIRPORT,25.83
30236,"Henry County, GA",68,7,33.519927,-84.325187,AIRPORT STATION,MARTA-AIRPORT,10.86
30288,"DeKalb County, GA",68,7,33.652897,-84.327107,LAKEWOOD-FT MCPHERSON STATION,MARTA-LAKEWOOD-FT-MCPHERSON,6.71
30009,"Fulton County, GA",65,7,34.078136,-84.303424,NORTH SPRINGS STATION,MARTA-NORTH-SPRINGS,9.72
30204,"Lamar County, GA",65,7,33.056208,-84.121725,AIRPORT STATION,MARTA-AIRPORT,44.51
30813,"Columbia County, GA",65,7,33.466744,-82.228209,INDIAN CREEK STATION,MARTA-INDIAN-CREEK,117.03
30028,"Forsyth County, GA",63,6,34.293159,-84.175907,NORTH SPRINGS STATION,MARTA-NORTH-SPRINGS,26.22
30052,"Walton County, GA",63,6,33.817047,-83.897315,INDIAN CREEK STATION,MARTA-INDIAN-CREEK,19.34
30809,"Columbia County, GA",62,6,33.558527,-82.171185,INDIAN CREEK STATION,MARTA-INDIAN-CREEK,119.26
30230,"Troup County, GA",61,6,33.166737,-84.920497,AIRPORT STATION,MARTA-AIRPORT,42.66
30534,"Dawson County, GA",60,6,34.431100,-84.144329,NORTH SPRINGS STATION,MARTA-NORTH-SPRINGS,35.75
30360,"DeKalb County, GA",59,6,33.933885,-84.272034,DORAVILLE STATION,MARTA-DORAVILLE,2.22
30054,"Newton County, GA",57,6,33.678353,-83.882960,INDIAN CREEK STATION,MARTA-INDIAN-CREEK,20.89
31907,"Muscogee County, GA",57,6,32.484404,-84.899945,AIRPORT STATION,MARTA-AIRPORT,84.09
30084,"Gwinnett County, GA",55,6,33.854097,-84.216155,DORAVILLE STATION,MARTA-DORAVILLE,5.00
30909,"Richmond County, GA",53,5,33.470481,-82.083045,INDIAN CREEK STATION,MARTA-INDIAN-CREEK,125.21
30075,"Cobb County, GA",52,5,34.052688,-84.391587,NORTH SPRINGS STATION,MARTA-NORTH-SPRINGS,7.72
30127,"Paulding County, GA",52,5,33.875084,-84.699340,HAMILTON E HOLMES STATION,MARTA-HAMILTON-E-HOLMES,15.60
30257,"Lamar County, GA",52,5,33.143414,-84.186220,AIRPORT STATION,MARTA-AIRPORT,37.48
30815,"Richmond County, GA",52,5,33.284927,-82.072213,INDIAN CREEK STATION,MARTA-INDIAN-CREEK,128.68
30655,"Walton County, GA",51,5,33.780196,-83.692512,INDIAN CREEK STATION,MARTA-INDIAN-CREEK,30.84
30206,"Pike County, GA",49,5,33.096064,-84.458259,AIRPORT STATION,MARTA-AIRPORT,37.63
30101,"Paulding County, GA",47,5,34.034515,-84.707349,NORTH SPRINGS STATION,MARTA-NORTH-SPRINGS,20.99
30143,"Pickens County, GA",47,5,34.462756,-84.425227,NORTH SPRINGS STATION,MARTA-NORTH-SPRINGS,36.01
30179,"Carroll County, GA",47,5,33.781553,-85.014782,HAMILTON E HOLMES STATION,MARTA-HAMILTON-E-HOLMES,31.37
30295,"Pike County, GA",47,5,33.090342,-84.317583,AIRPORT STATION,MARTA-AIRPORT,38.73
30222,"Meriwether County, GA",46,5,33.037153,-84.734670,AIRPORT STATION,MARTA-AIRPORT,44.89
30542,"Hall County, GA",46,5,34.179847,-83.910081,DORAVILLE STATION,MARTA-DORAVILLE,28.59
30217,"Heard County, GA",45,5,33.291347,-85.137886,AIRPORT STATION,MARTA-AIRPORT,46.60
30507,"Hall County, GA",44,4,34.264685,-83.769391,DORAVILLE STATION,MARTA-DORAVILLE,38.50
30501,"Hall County, GA",43,4,34.319037,-83.814399,DORAVILLE STATION,MARTA-DORAVILLE,39.24
30907,"Columbia County, GA",43,4,33.523712,-82.085665,INDIAN CREEK STATION,MARTA-INDIAN-CREEK,124.47
